Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
,,,,,,,,
Desert,Control,1,101,24,2.82,15.58,33.16831683,
,,,,,,,,
Desert,Control,1,101,29,6.77,31.72,15.77946768,4
,,,,,,,,
Desert,Control,1,101,29,6.27,14.83,29.24369748,4
,,,,,,,,
Desert,Control,1,102,29,5.18,17.2,26.58730159,3
,,,,,,,,
Desert,Control,1,102,29,4.8,22.76,26.66666667,2
,,,,,,,,
Desert,Control,1,102,29,,12.4,33.91915641,
,,,,,,,,
Desert,Control,1,103,25,6.45,14.54,34.94208494,3
,,,,,,,,
Desert,Control,1,103,26,6.06,18.37,29.79214781,3
,,,,,,,,
Desert,Control,1,103,29,6.86,16.62,31.36531365,4
,,,,,,,,
Desert,Control,2,104,22,,,33.92857143,
,,,,,,,,
Desert,Control,2,104,,,,,
,,,,,,,,
Desert,Control,2,104,,,,,
,,,,,,,,
Desert,Control,2,105,24,5.16,13.54,37.96875,3
,,,,,,,,
Desert,Control,2,105,22,4.06,7.09,29.7979798,4
,,,,,,,,
Desert,Control,2,105,24,,12.93,37.20930233,3
,,,,,,,,
Desert,Control,2,106,22,3.2,18.92,42.53246753,4
,,,,,,,,
Desert,Control,2,106,29,6.24,12.96,35.71428571,3
,,,,,,,,
Desert,Control,2,106,29,6.61,6.64,42.18512898,3
,,,,,,,,
Desert,Control,3,107,24,6.4,13.79,31.37996219,2
,,,,,,,,
Desert,Control,3,107,23,5.05,17.4,24.29906542,2
,,,,,,,,
Desert,Control,3,107,25,5.85,16.46,24.84599589,2
,,,,,,,,
Desert,Control,3,108,22,4.74,28.31,20.89552239,3
,,,,,,,,
Desert,Control,3,108,24,5.71,20.33,25.04743833,4
,,,,,,,,
Desert,Control,3,108,29,8.48,13.87,16.17933723,3
,,,,,,,,
Desert,Control,3,109,24,9.2,13.98,11.3785558,3
,,,,,,,,
Desert,Control,3,109,29,9.27,12.76,12.18637993,2
,,,,,,,,
Desert,Control,3,109,26,7.88,14.15,32.26381462,2
,,,,,,,,
Desert,Control,4,110,24,6.15,9.41,37.85488959,3
,,,,,,,,
Desert,Control,4,110,22,4.49,14.95,33.97129187,2
,,,,,,,,
Desert,Control,4,110,22,6.54,9.87,34.17721519,3
,,,,,,,,
Desert,Control,4,111,24,5.04,13.73,22.2972973,4
,,,,,,,,
Desert,Control,4,111,24,2.52,7.66,45.00907441,4
,,,,,,,,
Desert,Control,4,111,22,5.03,,21.3836478,3
,,,,,,,,
Desert,Control,4,112,,,,,
,,,,,,,,
Desert,Control,4,112,,,,,
,,,,,,,,
Desert,Control,4,112,,,,,
,,,,,,,,
Desert,Control,5,113,24,5.5,16.38,,3
,,,,,,,,
Desert,Control,5,113,26,6.23,13.18,,3
,,,,,,,,
Desert,Control,5,113,29,3.86,12.13,,3
,,,,,,,,
Desert,Control,5,114,24,4.56,18.83,,2
,,,,,,,,
Desert,Control,5,114,26,,4.35,,2
,,,,,,,,
Desert,Control,5,114,29,9.34,20.77,,3
,,,,,,,,
Desert,Control,5,115,24,4.6,14.08,,2
,,,,,,,,
Desert,Control,5,115,29,3.55,13.33,,2
,,,,,,,,
Desert,Control,5,115,31,,12.11,,
,,,,,,,,
Desert,Control,6,116,29,4.53,9.94,34.04907975,3
,,,,,,,,
Desert,Control,6,116,29,4.6,18.26,42.3670669,4
,,,,,,,,
Desert,Control,6,116,29,6.95,11.96,32.58064516,4
,,,,,,,,
Desert,Control,6,117,31,4.43,8.84,32.93413174,
,,,,,,,,
Desert,Control,6,117,25,6.95,19.92,20.40441176,3
,,,,,,,,
Desert,Control,6,117,25,6.56,8.14,,4
,,,,,,,,
Desert,Control,6,118,29,5.17,15.23,31.13772455,5
,,,,,,,,
Desert,Control,6,118,26,1.83,18.35,37.88461538,3
,,,,,,,,
Desert,Control,6,118,24,4.85,18.47,36.56957929,4
,,,,,,,,
Desert,Control,7,119,26,6.16,13.5,28.51637765,3
,,,,,,,,
Desert,Control,7,119,26,4.14,14.1,39.78159126,3
,,,,,,,,
Desert,Control,7,119,29,8.14,,,3
,,,,,,,,
Desert,Control,7,120,22,5.12,13.61,23.93320965,3
,,,,,,,,
Desert,Control,7,120,29,1.24,12.19,18.75,3
,,,,,,,,
Desert,Control,7,120,29,6.79,14.35,37.72189349,2
,,,,,,,,
Desert,Control,7,121,26,2.88,14.53,26.92307692,5
,,,,,,,,
Desert,Control,7,121,26,3.38,15.12,34.23137876,3
,,,,,,,,
Desert,Control,7,121,26,4.71,13.18,42.56651017,3
,,,,,,,,
Desert,Control,8,122,24,5.07,10.8,31.20124805,1
,,,,,,,,
Desert,Control,8,122,24,6.82,12.75,42.56651017,3
,,,,,,,,
Desert,Control,8,122,,,13.72,41.04234528,
,,,,,,,,
Desert,Control,8,123,30,7.64,12.03,38.90977444,4
